Datetime,open,high,low,close,volume
2014-11-30,118.67,119.03,118.57,118.89,113590
2014-12-01,118.889,119.142,117.84,118.43,416166
2014-12-02,118.443,119.438,118.34,119.189,384213
2014-12-03,119.199,119.95,119.14,119.888,335093
2014-12-04,119.896,120.252,119.31,120.003,404920
2014-12-05,120.003,121.688,119.98,121.41,318346
2014-12-07,121.437,121.847,121.31,121.509,114855
2014-12-08,121.502,121.514,120.04,120.103,453126
2014-12-09,120.104,120.155,117.929,119.075,597661
2014-12-10,119.081,119.454,117.42,118.22,581728
2014-12-11,118.231,119.556,117.88,118.884,495811
2014-12-12,118.876,119.084,118.03,118.8,372891
2014-12-14,118.95,119.09,117.76,118.561,182293
2014-12-15,118.557,118.977,117.099,117.181,569581
2014-12-16,117.18,117.759,115.55,117.068,682609
2014-12-17,117.069,119.006,116.79,118.471,566442
2014-12-18,118.473,119.392,118.21,119.368,503968
2014-12-19,119.361,119.623,118.81,119.49,316992
2014-12-21,119.351,119.654,119.29,119.49,93103
2014-12-22,119.508,120.184,119.42,120.127,308390
2014-12-23,120.124,120.826,120.01,120.349,324234
2014-12-24,120.343,120.532,120.03,120.16,163065
2014-12-25,120.178,120.421,119.91,120.189,62023
2014-12-26,120.196,120.49,120.14,120.35,115304
2014-12-28,120.31,120.603,120.14,120.315,82765
2014-12-29,120.307,120.735,120.216,120.394,302122
2014-12-30,120.402,120.407,118.84,119.722,352255
2014-12-31,119.716,119.941,119.25,119.673,176407
2015-01-01,119.66,120.476,119.64,120.413,61900
2015-01-02,120.416,120.741,119.796,120.43,250330
2015-01-04,120.319,120.646,119.96,120.391,126917
2015-01-05,120.398,120.513,118.86,118.957,460336
2015-01-06,118.949,119.391,118.03,118.87,557193
